LGAs_Shape,LGAs_ADM2_,LGAs_ADM21,LGAs_ADM_1,LGAs_ADM1_,LGAs_SD_EN,LGAs_area1,LGAs_are_1,partners_c,partners_1,partners_2,lat,long
1.901653999,Bade,NG036001,Bade,Yobe,Yobe North,875.8710414,875.8710414,Bade,"ACF, CARE, COOPI, IRC, MSION, NI, PI, SCI, SC",9,12.73013619,10.88622934
1.435857183,Bayo,NG008004,Bayo,Borno,Borno South,978.5740275,978.5740275,Bayo,"ACF, MSION",2,10.40508273,11.70198936
2.564246146,Biu,NG008005,Biu,Borno,Borno South,3400.886365,3400.886365,Biu,"ACF, eHealth Africa, JRS, MSION, MC, SCI, WAN, ZOA",8,10.7969909,12.09838233
2.394300535,Bursari,NG036002,Bursari,Yobe,Yobe East,4009.713323,4009.713323,Bursari,"ACF, AAN, MSION, NI, PI",5,12.71415551,11.4199543
1.576156729,Chibok,NG008006,Chibok,Borno,Borno South,1574.880059,1574.880059,Chibok,"ACF, DRC, eHealth Africa, PI, TWB",5,10.84249159,12.79892837
1.923668978,Demsa,NG002001,Demsa,Adamawa,Adamawa South,1610.614005,1610.614005,Demsa,"HKI, MSION, MC, SFCG",4,9.398248903,12.02467101
2.243537845,Fika,NG036004,Fika,Yobe,Yobe South,2237.981767,2237.981767,Fika,"ACF, IRC, MSION, NI",4,11.37136633,11.22165006
3.747952739,Fufore,NG002002,Fufore,Adamawa,Adamawa Central,4853.473665,4853.473665,Fufore,"HKI, MSION, RDHI, SFCG, VSO",5,9.202925743,12.64168902
3.281636188,Fune,NG036005,Fune,Yobe,Yobe South,5713.95313,5713.95313,Fune,"ACF, MSION, NI",3,11.83587198,11.4224215
2.122051257,Ganye,NG002003,Ganye,Adamawa,Adamawa South,2140.495557,2140.495557,Ganye,"HKI, MSION, MC, WAN",4,8.429338714,12.00812992
2.665207674,Geidam,NG036006,Geidam,Yobe,Yobe East,4033.790036,4033.790036,Geidam,"ACF, COOPI, IRC, MSION, MC, NI, WAN",7,12.67593075,12.1003987
1.842474708,Gombi,NG002004,Gombi,Adamawa,Adamawa Central,2232.99181,2232.99181,Gombi,"CBMI, HKI, MSION, MC, SC",5,10.18574023,12.49332531
2.221293325,Gubio,NG008009,Gubio,Borno,Borno North,2754.568198,2754.568198,Gubio,"ACF, eHealth Africa,IMC, MSION",4,12.66472848,12.76169387
2.193495031,Gulani,NG036008,Gulani,Yobe,Yobe East,2208.870797,2208.870797,Gulani,"ACF, DRC, IRC, MC, NI",5,10.94241393,11.67711486
1.166444357,Guyuk,NG002006,Guyuk,Adamawa,Adamawa South,708.9216674,708.9216674,Guyuk,"HKI, MSION",2,9.839019229,11.90768237
1.973642957,Hawul,NG008012,Hawul,Borno,Borno South,2081.020124,2081.020124,Hawul,"ACF, JRS, MSION, MC, PI, SCI, SC",7,10.45375376,12.27098595
3.047351769,Jada,NG002008,Jada,Adamawa,Adamawa South,2663.625156,2663.625156,Jada,"HKI, MSION",2,8.701898989,12.33619007
2.689351044,Jakusko,NG036009,Jakusko,Yobe,Yobe North,3700.325542,3700.325542,Jakusko,"ACF, CARE, COOPI, IRC, MSION, MC, NI, PI",8,12.44174402,10.91265187
2.093386112,Karasuwa,NG036010,Karasuwa,Yobe,Yobe North,1402.34499,1402.34499,Karasuwa,"ACF, ALIMA, CARE, IRC, MSION, NI",6,12.97923604,10.77459838
1.11967203,Kwaya Kusar,NG008018,Kwaya Kusar,Borno,Borno South,772.5579318,772.5579318,Kwaya Kusar,"ACF, CBMI, MSION, MC, SCI, WAN",6,10.44682621,11.8850563
1.420854365,Lamurde,NG002009,Lamurde,Adamawa,Adamawa South,1136.990574,1136.990574,Lamurde,"HKI, IRC, MSION, MC, PI, SFCG",6,9.557770601,11.70613702
1.779160925,Machina,NG036011,Machina,Yobe,Yobe North,1348.145082,1348.145082,Machina,"ACF, MSION, NI",3,13.04380621,10.02018074
