FID,Shape *,OBJECTID_1,OBJECTID,Join_Count,TARGET_FID,Shape_Leng,ADM2_EN,ADM2_PCODE,ADM2_REF,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,SD_EN,SD_PCODE,area,area_1,area_2,area_3,longitude,latitude,nga_genera,Shape_Le_1,State,LGAs,IDPs,Field4,ORIG_FID,lon,lat
23,Point,24,56,0,645,0.905953,Potiskum,NG036014,Potiskum,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe South,NG03603,0,0,600.557666,600.557666,0,0,0,0.905953,Yobe,Potiskum,8884, ,23,11.165865,11.706941
24,Point,25,62,0,762,0.274343,Yola North,NG002020,Yola North,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa Central,NG00201,0,0,65.210868,65.210868,0,0,0,0.274343,Adamawa,Yola North,9928, ,24,12.439882,9.257108
25,Point,26,63,0,763,1.657038,Yola South,NG002021,Yola South,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa Central,NG00201,0,0,955.63753,955.63753,0,0,0,1.657038,Adamawa,Yola South,28937, ,25,12.33661,9.260374
26,Point,27,1,1,2,3.075316,Abadam,NG008001,Abadam,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno North,NG00802,0,0,4138.043933,4138.043933,13.461528,13.701806,15.772732,3.075316,Borno,Abadam,0, ,26,13.3229,13.428835
27,Point,28,3,0,82,1.901654,Bade,NG036001,Bade,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe North,NG03602,0,0,875.871041,875.871041,0,0,0,1.901654,Yobe,Bade,21421, ,27,10.886229,12.730136
28,Point,29,5,0,99,1.435857,Bayo,NG008004,Bayo,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno South,NG00803,0,0,978.574027,978.574027,0,0,0,1.435857,Borno,Bayo,1067, ,28,11.701989,10.405083
29,Point,30,6,0,114,2.564246,Biu,NG008005,Biu,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno South,NG00803,0,0,3400.886365,3400.886365,0,0,0,2.564246,Borno,Biu,42228, ,29,12.098382,10.796991
30,Point,31,7,0,131,2.394301,Bursari,NG036002,Bursari,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe East,NG03601,0,0,4009.713323,4009.713323,0,0,0,2.394301,Yobe,Bursari,4831, ,30,11.419954,12.714156
31,Point,32,8,0,139,1.576157,Chibok,NG008006,Chibok,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno South,NG00803,0,0,1574.880059,1574.880059,0,0,0,1.576157,Borno,Chibok,14515, ,31,12.798928,10.842492
32,Point,33,11,0,158,1.923669,Demsa,NG002001,Demsa,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa South,NG00203,0,0,1610.614005,1610.614005,0,0,0,1.923669,Adamawa,Demsa,16926, ,32,12.024671,9.398249
33,Point,34,13,0,221,2.243538,Fika,NG036004,Fika,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe South,NG03603,0,0,2237.981767,2237.981767,0,0,0,2.243538,Yobe,Fika,5255, ,33,11.22165,11.371366
34,Point,35,14,0,222,3.747953,Fufore,NG002002,Fufore,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa Central,NG00201,0,0,4853.473665,4853.473665,0,0,0,3.747953,Adamawa,Fufore,8648, ,34,12.641689,9.202926
35,Point,36,15,0,224,3.281636,Fune,NG036005,Fune,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe South,NG03603,0,0,5713.95313,5713.95313,0,0,0,3.281636,Yobe,Fune,3926, ,35,11.422421,11.835872
