FID,OBJECTID,Join_Count,TARGET_FID,Shape_Leng,ADM2_EN,ADM2_PCODE,ADM2_REF,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,SD_EN,SD_PCODE,area,area_1,area_2,area_3,longitude,latitude,nga_genera,Shape_Le_1,Shape_Area,ADM1_PCO_1,ADM1_EN_1,District__,Flooded_Ar,Flooded_Cr,Total_in_D,Children__,Elderly___,lon,lat
21,7,0,131,2.394301,Bursari,NG036002,Bursari,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe East,NG03601,0,0,4009.713323,4009.713323,0,0,0,2.394301,0.317661,NG036,Yobe,Bursari,49584,11490,36278,1786,12305,11.419954,12.714156
22,11,0,158,1.923669,Demsa,NG002001,Demsa,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa South,NG00203,0,0,1610.614005,1610.614005,0,0,0,1.923669,0.129068,NG002,Adamawa,Demsa,22164,162,19204,990,5803,12.024671,9.398249
23,13,0,221,2.243538,Fika,NG036004,Fika,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe South,NG03603,0,0,2237.981767,2237.981767,0,0,0,2.243538,0.1782,NG036,Yobe,Fika,166,109,391,14,130,11.22165,11.371366
24,14,0,222,3.747953,Fufore,NG002002,Fufore,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa Central,NG00201,0,0,4853.473665,4853.473665,0,0,0,3.747953,0.389155,NG002,Adamawa,Fufore,25682,2185,47534,2243,15413,12.641689,9.202926
25,15,0,224,3.281636,Fune,NG036005,Fune,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe South,NG03603,0,0,5713.95313,5713.95313,0,0,0,3.281636,0.454205,NG036,Yobe,Fune,10025,2273,6144,257,2146,11.422421,11.835872
26,17,0,240,2.665208,Geidam,NG036006,Geidam,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe East,NG03601,0,0,4033.790036,4033.790036,0,0,0,2.665208,0.319617,NG036,Yobe,Geidam,25884,8997,20642,965,6782,12.100399,12.675931
27,22,0,252,2.193495,Gulani,NG036008,Gulani,Yobe,NG036,Nigeria,NG,29/11/2016,17/04/2019,Yobe East,NG03601,0,0,2208.870797,2208.870797,0,0,0,2.193495,0.176145,NG036,Yobe,Gulani,7618,5188,15669,625,5379,11.677115,10.942414
28,23,0,259,1.166444,Guyuk,NG002006,Guyuk,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa South,NG00203,0,0,708.921667,708.921667,0,0,0,1.166444,0.056735,NG002,Adamawa,Guyuk,3270,230,17299,805,5747,11.907682,9.839019
29,26,0,272,1.973643,Hawul,NG008012,Hawul,Borno,NG008,Nigeria,NG,29/11/2016,17/04/2019,Borno South,NG00803,0,0,2081.020124,2081.020124,0,0,0,1.973643,0.166221,NG008,Borno,Hawul,2028,655,3419,219,1198,12.270986,10.453754
30,28,0,380,3.047352,Jada,NG002008,Jada,Adamawa,NG002,Nigeria,NG,29/11/2016,17/04/2019,Adamawa South,NG00203,0,0,2663.625156,2663.625156,0,0,0,3.047352,0.213871,NG002,Adamawa,Jada,278,206,390,25,125,12.33619,8.701899
